  EVENTID;TYPE;AUTHOR   ;DATE      ;TIME       ;LAT     ;LON      ;DEPTH;DEPFIX;AUTHOR   ;TYPE  ;MAG ;autho2;type2;mag2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
872044;ke  ;CAR      ;27/03/1963;12:31:45;6,8;-73;176;      ;ALQ      ;M     ;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
871095;ke  ;ISC      ;6/01/1964;06:42,5;6,7479;-72,834;161;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
871104;ke  ;ISC      ;7/01/1964;22:09,1;6,7738;-72,8809;160;TRUE  ;ISC      ;mb    ;4;USCGS    ;mb    ;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
871198;ke  ;ISC      ;11/01/1964;57:58,9;6,9645;-73,1024;130;TRUE  ;ISC      ;mb    ;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
871531;ke  ;ISC      ;26/01/1964;53:19,8;6,7786;-72,9524;161;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
870370;ke  ;ISC      ;5/02/1964;11:56,7;6,7647;-72,9424;160;TRUE  ;ISC      ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
870396;ke  ;ISC      ;6/02/1964;36:00,4;6,7631;-72,9244;166;TRUE  ;ISC      ;mb    ;4,9;USCGS    ;mb    ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
870895;ke  ;ISC      ;26/02/1964;31:25,3;6,7824;-73,2971;166;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
870963;ke  ;ISC      ;29/02/1964;04:59,5;7,0543;-73,0848;130;TRUE  ;ISC      ;mb    ;4,5;USCGS    ;mb    ;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
869570;ke  ;ISC      ;17/03/1964;13:06,4;7,0245;-72,8212;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
869593;ke  ;ISC      ;18/03/1964;52:10,0;6,8256;-72,9965;166;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
869749;ke  ;ISC      ;25/03/1964;45:09,6;6,9468;-72,8007;166;TRUE  ;ISC      ;mb    ;3,8;USCGS    ;mb    ;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
868730;ke  ;ISC      ;14/04/1964;43:30,6;6,7846;-72,8909;161;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
867666;ke  ;ISC      ;12/05/1964;47:10,9;6,7817;-72,9328;161;TRUE  ;ISC      ;mb    ;3,8;USCGS    ;mb    ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
